0.0, 574.376750246, 615.911934084, 562.379221333, 449.659777028, 371.009527127, 421.97195483, 494.983891088, 458.303140221, 438.203404143, 402.401705093, 410.423151246, 691.737163025, 508.014267721, 431.882280527, 373.685067704, 567.522496316, 616.273278315, 574.743960138, 428.741084116, 383.515296973, 660.483761711, 636.442047035, 407.202185573, 689.915524879, 554.671723277, 530.091228581, 429.051360774, 503.228064171, 540.150630539, 606.59565987, 423.782704656, 487.449068705, 650.991605248, 413.464504088, 546.727587536, 424.28707691, 649.662272299, 625.310976008, 442.638218635, 629.263978052, 601.681428262, 395.769989056, 518.961231, 423.333431506, 465.261676074, 486.531957145, 826.809178033, 412.579535934, 462.397670496, 430.050311271, 741.101605296, 403.065361448, 459.620113537, 631.784388105, 604.979454336, 408.90845228, 408.835139813, 477.954168906, 487.586101066, 387.307495082, 429.008981161, 750.882193228, 399.010964119, 503.621330405, 640.501277848, 509.584835177, 431.146820418, 603.939146375, 631.554075596
574.376750246, 0.0, 501.490680542, 507.952471118, 499.235251697, 497.750897033, 518.093836979, 475.004278154, 582.708469407, 533.070894268, 547.092681732, 512.140557168, 546.667289427, 595.045778129, 522.724751568, 499.456861934, 532.817001738, 509.794659804, 608.520675343, 549.199006556, 531.508181785, 526.31174523, 638.088613491, 529.430146548, 550.791403261, 512.493478799, 470.651494231, 504.145614132, 480.596484273, 610.184053855, 602.83891395, 468.364299949, 568.08064261, 651.296104542, 557.44235316, 560.444006118, 512.435050736, 588.579197218, 513.852646387, 458.803742559, 610.086784714, 496.91317102, 542.038781982, 558.106259865, 544.637076011, 460.976445415, 572.374639264, 666.033775998, 538.17217328, 464.583521077, 471.462297733, 590.840507623, 523.72833876, 466.724942325, 619.552609904, 602.369714315, 501.80664053, 502.299541948, 553.956511015, 486.273661972, 525.264519459, 571.027935851, 598.651780172, 501.258449429, 596.678266865, 593.240267246, 593.057574131, 555.247091745, 556.262375084, 569.163117946
615.911934084, 501.490680542, 0.0, 317.406982626, 431.670498221, 499.033518178, 515.036258954, 281.445452161, 597.522234669, 503.365662359, 589.748550799, 554.419604203, 216.647887132, 588.171185303, 485.440199355, 493.702798272, 572.433996319, 201.131188994, 564.514226075, 599.972295842, 597.626018293, 206.141008528, 521.654160731, 565.850798387, 207.881485157, 376.374415823, 272.852465975, 464.161140194, 340.406007763, 572.828107188, 555.481439979, 396.731268745, 594.837506038, 538.233830108, 587.873129024, 570.720842882, 498.368006135, 539.829004994, 208.764836114, 359.982174652, 552.722372458, 209.49877256, 566.06368629, 508.571028826, 551.313840119, 320.848342623, 607.537578688, 448.929830122, 561.647472048, 321.783769135, 371.440841016, 254.988479082, 557.624078484, 341.801734715, 546.086545534, 561.587271274, 502.584973231, 509.7170704, 593.5435961, 350.058354974, 560.894059302, 584.447500279, 276.639496359, 496.095196384, 583.714064112, 551.859993397, 569.745777206, 578.875433221, 541.488915005, 541.000233542
562.379221333, 507.952471118, 317.406982626, 0.0, 410.47340713, 467.272806083, 447.662713449, 334.005476514, 541.673024095, 464.621972998, 535.802729809, 524.679096108, 343.50628939, 554.678057694, 458.899000627, 455.309042856, 553.383950673, 313.543860033, 513.986904513, 549.389535636, 543.582459247, 332.036375288, 508.959784671, 519.54429394, 345.584709416, 375.927330568, 318.009319818, 439.491334349, 355.7271689, 526.785091826, 530.023787147, 396.686925892, 565.393888191, 542.449056009, 539.131216387, 536.549144179, 474.057604357, 529.272712253, 311.107810589, 359.742378943, 537.948950718, 307.716330635, 521.616167035, 487.794238234, 516.471810891, 356.700147616, 559.015406619, 518.571287738, 527.235005918, 349.365710242, 368.769130183, 374.103941096, 518.373386382, 354.852108329, 536.599831758, 547.662853128, 479.694340189, 482.841998107, 549.897276304, 350.465806042, 508.383767854, 531.2147396, 388.97798155, 467.74957443, 546.073927865, 545.846530228, 532.204208953, 530.837635377, 528.388233401, 535.318445891
449.659777028, 499.235251697, 431.670498221, 410.47340713, 0.0, 353.552577429, 367.060051679, 350.176425371, 437.579463477, 334.569292203, 417.286150823, 404.107522085, 502.971201606, 463.908664101, 328.558639002, 338.717638162, 535.533978944, 432.096333871, 509.68849337, 459.305674743, 423.879178115, 477.065049304, 544.18210112, 426.460297567, 504.585987581, 423.737183456, 368.613171597, 370.949244687, 351.487619055, 485.684662424, 547.584604507, 315.936589463, 483.340282186, 546.777409773, 390.636634105, 497.638794714, 371.357409585, 579.745710214, 444.373479013, 326.920446965, 553.56678744, 417.050498916, 428.117366805, 439.664754545, 392.191037572, 312.834390426, 462.952821979, 667.896708523, 406.851851812, 319.948260662, 321.169795811, 552.386615035, 383.16765736, 322.37559647, 564.821791865, 531.049917128, 344.253319243, 350.993256411, 467.29747315, 342.371466167, 379.563687902, 451.43288964, 564.129929088, 326.562225375, 479.433048458, 553.172653371, 501.544079136, 461.691974641, 542.27029004, 576.591662319
371.009527127, 497.750897033, 499.033518178, 467.272806083, 353.552577429, 0.0, 342.168531812, 385.231362931, 388.756852989, 348.515920209, 361.869465483, 355.906816393, 580.775891325, 456.150556819, 347.235763131, 262.486548431, 522.304226404, 506.600020142, 509.306551628, 399.765129318, 359.029336153, 546.060023382, 571.037818783, 373.260247546, 578.21211715, 454.561540507, 410.026980681, 377.106742418, 402.467662917, 471.230862625, 561.790246842, 319.109993583, 459.293198151, 572.210072026, 354.756645305, 477.568051799, 344.72521253, 589.05659631, 513.067527303, 336.655259054, 567.879743626, 484.967298516, 371.357056077, 461.744273636, 362.991566658, 341.699376602, 436.140412011, 743.27960991, 352.446500167, 338.894057185, 312.037119636, 636.388534291, 333.577405165, 342.353080407, 581.416395835, 542.904077201, 317.880595145, 336.426578016, 452.432019398, 374.393393139, 317.512769761, 399.614665844, 648.182921993, 293.63593597, 477.171730746, 574.881622944, 486.956403599, 401.324939222, 558.491621227, 590.51989048
421.97195483, 518.093836979, 515.036258954, 447.662713449, 367.060051679, 342.168531812, 0.0, 407.509696107, 404.753280062, 361.929534408, 379.619805064, 380.502707083, 596.839378934, 466.104169989, 365.463098056, 334.381488693, 526.061105083, 514.320617044, 495.809185045, 437.348628358, 380.076687333, 565.66353409, 566.401040847, 404.704249251, 599.163633299, 452.517528099, 429.741306186, 350.114053062, 407.634468905, 462.080493397, 577.07763768, 346.637343026, 471.931694246, 575.153182719, 375.676048404, 517.336819532, 370.135971518, 609.433601473, 527.797172191, 349.863280125, 602.91085993, 507.598141874, 381.719203699, 447.304175366, 353.423136628, 365.166580253, 431.220025341, 745.206079103, 381.81210597, 372.394737113, 341.793262982, 651.88102135, 346.86879606, 370.437877714, 597.377304536, 544.460126213, 331.604431622, 372.945190905, 466.078417758, 371.316081213, 368.896402974, 443.607658928, 655.644090137, 324.14178214, 498.873043179, 570.327440616, 499.910886422, 429.617753295, 563.516492853, 603.522086125
494.983891088, 475.004278154, 281.445452161, 334.005476514, 350.176425371, 385.231362931, 407.509696107, 0.0, 494.314186916, 408.385143005, 477.113999085, 443.972234464, 352.052286246, 496.687971399, 390.772657021, 368.579776974, 523.599279789, 269.248849674, 506.378676006, 508.129364925, 478.375143362, 324.509065137, 502.085393715, 467.881655822, 354.052338038, 366.01735879, 264.931159736, 371.506500856, 302.921039302, 496.726892366, 536.968139732, 305.236916, 512.307903858, 515.2348362, 463.470612274, 513.163498285, 395.928843197, 538.018448595, 302.452723519, 281.760465288, 535.388794757, 283.725091906, 451.969068649, 449.002032847, 440.997165378, 268.278462246, 512.187856885, 553.153510495, 451.161643365, 258.440980817, 293.668924538, 406.082331422, 436.242583144, 271.863698356, 534.92280609, 515.247014363, 387.298142661, 405.829113569, 505.720511529, 294.903905269, 438.81960485, 489.52566229, 416.539313028, 375.433926598, 514.631837906, 528.677095492, 512.477267543, 484.442224943, 515.066885879, 535.73379673
458.303140221, 582.708469407, 597.522234669, 541.673024095, 437.579463477, 388.756852989, 404.753280062, 494.314186916, 0.0, 451.024479134, 446.845297919, 430.376060533, 675.092099805, 497.498893582, 438.87200004, 401.62076525, 588.764779335, 599.876624661, 519.879614848, 483.90083037, 441.960929602, 645.957529619, 612.647111883, 470.93765884, 675.074567688, 519.157098995, 505.719411758, 428.464348455, 479.396444349, 508.204049132, 652.931491142, 425.25873899, 539.407626272, 596.520139784, 418.556501808, 563.544788711, 447.609545356, 677.746486453, 613.265200709, 432.022270102, 641.556907007, 584.91006235, 442.13956211, 526.479768378, 414.704288373, 461.371662402, 454.354215039, 822.058625128, 425.804603908, 450.729170795, 434.711734912, 727.429317572, 408.219446167, 465.674900394, 659.130679685, 607.316606794, 396.655203705, 423.593160607, 529.903999911, 458.468313946, 418.114668828, 504.073288324, 739.031396208, 410.208980953, 538.151479824, 632.850517946, 575.705579208, 475.38673597, 645.382852205, 676.853213955
438.203404143, 533.070894268, 503.365662359, 464.621972998, 334.569292203, 348.515920209, 361.929534408, 408.385143005, 451.024479134, 0.0, 406.561275265, 416.199906741, 578.471593725, 473.526565829, 303.422223785, 361.970010082, 546.475594267, 504.729623856, 509.959028895, 442.230764342, 422.683823545, 552.109707025, 573.772784265, 411.238767507, 578.468559585, 460.884238999, 439.294163525, 398.073316444, 420.321608577, 498.575481893, 557.143939674, 360.891130397, 489.135513191, 577.05211837, 399.472801457, 514.604373308, 382.910918933, 593.629992593, 517.511030368, 378.306852408, 563.930985261, 500.661673545, 414.666621334, 471.628470979, 400.525513072, 367.347822945, 479.965557709, 731.999135394, 412.958217826, 389.506390185, 353.354431154, 627.041614074, 403.481815172, 369.54906909, 574.751282478, 565.174866611, 372.245401169, 386.911814602, 466.619018429, 393.749597031, 375.160492244, 421.736552097, 636.386305784, 349.698468071, 481.291434961, 586.032312085, 501.786860482, 443.601484027, 556.889360662, 593.154024487
